id,nama,lokasi,phone,lat,long,alamat
1,RSUD Dr Zainoel Abidin,Aceh,0651 -34562,5.563718,95.3353989,"Jl. Teuku Moh. Daud Beureueh No.108, Bandar Baru, Kec. Kuta Alam, Kota Banda Aceh"
2,RSUD Cut Meutia,Aceh,0645-46334,5.1237098,97.1543466,"Jl. Lintas Sumatera Jl. Medan - Banda Aceh, Mesjid Punteut, Blang Mangat, Kota Lhokseumawe, Aceh"
3,RSUP H Adam Malik,Sumatera Utara,(061) 8360051,3.5182764,98.6059271,"Jl. Bunga Lau No.17, Kemenangan Tani, Kec. Medan Tuntungan, Kota Medan, Sumatera Utara"
4,RSUD Kota Padang Sidempuan.,Sumatera Utara,(0634) 21780,1.3840407,99.25245,"Jl. Kenanga, Kota Padang Sidempuan."
5,RSUD Kabanjahe,Sumatera Utara,(0628) 20012,3.0979584,98.4894196,"Jl. Selamat Ketaren No.08, Lau Cimba, Kabanjahe, Kabupaten Karo, Sumatera Utara"
6,RSUD Tarutung,Sumatera Utara,(0633) 21303,2.0268437,98.9585211,"Jl. Agus Salim No.1, Hutagalung Siwaluompu, Tarutung, Kabupaten Tapanuli Utara, Sumatera Utara"
7,RSUD Dr Djasamen Saragih,Sumatera Utara,(0622) 22959,2.9581872,99.0675496,"Jl. Sutomo No.230, Simalungun, Kec. Siantar Sel., Kota Pematang Siantar, Sumatera Utara"
8,RSUP dr M Djamil,Sumatera Barat,(0751) 32371,2.9581872,99.0675496,"Jl. Perintis Kemerdekaan, Sawahan Tim., Kec. Padang Tim., Kota Padang, Sumatera Barat"
9,RSUD Dr Achmad Mochtar,Sumatera Barat,(0752) 2172,-0.2997207,100.3639312,"Jl. Dr. Abdul Rivai No.1, Bukit Apit Puhun, Kec. Guguk Panjang, Kota Bukittinggi, Sumatera Barat"
10,RSUD Arifin Achmad,Riau,(0761) 23418,0.5232482,101.4500354,"Jl. Diponegoro No.2, Sumahilang, Kec. Pekanbaru Kota, Kota Pekanbaru, Riau"
11,RSUD Puri Husada,Riau,(0768) 24563,-0.322955,103.1609693,"Jl. Veteran No.52, Tembilahan Hilir, Tembilahan, Kabupaten Indragiri Hilir, Riau"
12,RSUD Kota Dumai,Riau,(0765) 440992,1.6800294,101.4569559,"Jl. Tj. Jati No.4, Buluh Kasap, Dumai Tim., Kota Dumai, Riau"
13,RSUD Embung Fatimah,Kepulauan Riau,(0778) 364446,1.0499007,103.9653936,"Jl. Letjend Suprapto No.1-9, Bukit Tempayan, Kec. Batu Aji, Kota Batam, Kepulauan Riau"
14,RSBP Batam,Kepulauan Riau,(0778) 322046,1.1296416,103.9299977,"Jl. Cipto Mangunkusumo No.1, Tj. Pinggir, Kec. Sekupang, Kota Batam, Kepulauan Riau"
